# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=PCB_SSS
# Date=12:19:49
# CreatedBy=Fritzing 1.0.2b.2023-12-20.CD-1901-0-dbdbe34c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Jumper11,";;;;;;;;","",3890.07,3132.37,0,Top,MANUAL
R74,"22k;;;;;0.25;;;","THT",3118.73,419.463,45,Top,THT
R40,"22k;;;;;0.25;;;","THT",3020.78,2167.8,180,Top,THT
R4,"5.6k;;;;;0.25;;;","THT",2644.15,2486.4,0,Top,THT
C11,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",3732.59,3123.31,90,Top,THT
R31,"120;;;;;0.25;;;","THT",464.876,1337.87,-90,Top,THT
R69,"22k;;;;;0.25;;;","THT",3575.11,911.108,-90,Top,THT
R68,"22k;;;;;0.25;;;","THT",3768.81,1262.29,180,Top,THT
Jumper18,";;;;;;;;","",523.931,1065.44,0,Top,MANUAL
J7,";;;;;;;;","THT",4008.18,3270.16,180,Top,THT
ADS115,";;;;;;;;","",1444.79,737.385,0,Top,MANUAL
TL072_DP,";;;;;;;;","DIP (Dual Inline) [THT]",3307,954.808,-90,Top,THT
R44,"6.8k;;;;;0.25;;;","THT",2154.64,1655.99,180,Top,THT
C17,";10nF;;35V;;;;;","200 mil [THT, multilayer]",189.286,1007.95,90,Top,THT
TL072_I,";;;;;;;;","DIP (Dual Inline) [THT]",3307,1820.95,-90,Top,THT
R7,"1k;;;;;0.25;;;","THT",2515.27,2364.65,180,Top,THT
Jumper2,";;;;;;;;","",3023.93,2128.43,0,Top,MANUAL
R9,"1k;;;;;0.25;;;","THT",2279.05,2718.98,180,Top,THT
R71,"22k;;;;;0.25;;;","THT",3375.11,514.252,0,Top,THT
MCP_DP,";;;;;;;;","DIP (Dual Inline) [THT]",2480.23,718.585,-90,Top,THT
J4,";;;;;;;;","THT",740.467,2164.65,0,Top,THT
R52,"6.8k;;;;;0.25;;;","THT",2157.79,871.741,-90,Top,THT
C19,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",1803.46,3141.42,90,Top,THT
R65,"120;;;;;0.25;;;","THT",343.616,2915.83,0,Top,THT
R55,"100k;;;;;0.25;;;","THT",2469.6,278.041,0,Top,THT
Jumper17,";;;;;;;;","",2079.05,317.409,0,Top,MANUAL
R61,"100k;;;;;0.25;;;","THT",1767.24,199.297,180,Top,THT
MCP_I,";;;;;;;;","DIP (Dual Inline) [THT]",2244.01,2017.8,-90,Top,THT
D1,";;;;;;;;","300 mil [THT]",968.207,120.552,180,Top,THT
Jumper13,";;;;;;;;","",3302.47,3103.05,0,Top,MANUAL
R45,"4.7k;;;;;0.25;;;","THT",2614.17,1514.56,-135,Top,THT
A1,";;;;;;;;","THT",2984.77,3393.61,180,Top,THT
J5,";;;;;;;;","THT",1629.34,2164.65,0,Top,THT
R32,"250;;;;;0.25;;;","THT",582.986,1337.87,-90,Top,THT
C18,";10nF;;35V;;;;;","200 mil [THT, multilayer]",364.876,1655.99,0,Top,THT
